Collection,Strain,organism,rep,endotrt,salttrt,ppt,m1,h1,plantdate,harvestdate,growdays,m2tot,m2root,m2shoot,h2,net change in weight,net change in height,status at harvest,weight change per growth day,height change per growth day
M1,10964,bacteria,1,C,F,,0.27,6.1,9/17/2020,10/16/2020,29,0.25,0.08,0.16,5.9,-0.02,-0.2,"sad, confused",-0.0006896551724,-0.006896551724
M1,10964,bacteria,2,C,S,,0.26,7.1,9/17/2020,10/16/2020,29,0.84,0.32,0.51,10.8,0.58,3.7,,0.02,0.1275862069
M1,10964,bacteria,4,C,S,,0.4,8.3,9/17/2020,10/16/2020,29,0.32,0.15,0.18,8.4,-0.08,0.1,dead,-0.00275862069,0.003448275862
M1,10964,bacteria,5,C,F,,0.38,8.9,9/17/2020,10/16/2020,29,1.57,0.44,1.11,20,1.19,11.1,,0.04103448276,0.3827586207
M1,10964,bacteria,6,C,S,,0.22,7.5,9/17/2020,10/16/2020,29,0.11,0.03,0.07,6.9,-0.11,-0.6,dead,-0.003793103448,-0.02068965517
M1,10964,bacteria,4,C,F,,0.38,9.9,9/17/2020,10/16/2020,29,1.21,0.43,0.79,15.1,0.83,5.2,,0.02862068966,0.1793103448
M1,10964,bacteria,8,C,S,,0.43,7.9,9/17/2020,10/16/2020,29,0.34,0.16,0.19,7.7,-0.09,-0.2,dead,-0.003103448276,-0.006896551724
M1,10964,bacteria,9,C,F,,0.45,9.3,9/17/2020,10/16/2020,29,1.3,0.48,0.81,12.3,0.85,3,,0.02931034483,0.1034482759
M1,10964,bacteria,10,C,S,,0.29,9,9/17/2020,10/16/2020,29,0.89,0.34,0.56,12.1,0.6,3.1,,0.02068965517,0.1068965517
M1,10964,bacteria,11,C,F,,0.48,8.6,9/17/2020,10/16/2020,29,0.93,0.23,0.71,10.4,0.45,1.8,live with seed,0.01551724138,0.06206896552
M1,10964,bacteria,1,E,F,,0.36,9.7,9/17/2020,10/16/2020,29,1.21,0.42,0.78,17.1,0.85,7.4,,0.02931034483,0.2551724138
M1,10964,bacteria,3,E,F,,0.43,11.5,9/17/2020,10/16/2020,29,1.64,0.52,1.12,20.3,1.21,8.8,,0.04172413793,0.3034482759
M1,10964,bacteria,4,E,S,,0.53,8.1,9/17/2020,10/16/2020,29,0.5,0.36,0.15,8.8,-0.03,0.7,DEAD,-0.001034482759,0.02413793103
M1,10964,bacteria,5,E,S,,0.26,8,9/17/2020,10/16/2020,29,0.61,0.2,0.41,11.2,0.35,3.2,LIVE WITH SEED,0.01206896552,0.1103448276
M1,10964,bacteria,6,E,S,,0.2,6.9,9/17/2020,10/16/2020,29,0.6,0.2,0.4,9.2,0.4,2.3,,0.01379310345,0.07931034483
M1,10964,bacteria,9,E,F,,0.42,8.7,9/17/2020,10/16/2020,29,1.45,0.52,0.91,15.8,1.03,7.1,,0.03551724138,0.2448275862
M1,10964,bacteria,10,E,S,,0.19,6.1,9/17/2020,10/16/2020,29,0.23,0.14,0.08,5.9,0.04,-0.2,DEAD,0.001379310345,-0.006896551724
M1,10964,bacteria,11,E,F,,0.48,10.2,9/17/2020,10/16/2020,29,1.35,0.47,0.87,15.1,0.87,4.9,,0.03,0.1689655172
M1,10964,bacteria,12,E,S,,0.32,8.5,9/17/2020,10/16/2020,29,0.94,0.28,0.66,12.9,0.62,4.4,,0.02137931034,0.1517241379
M1,10964,bacteria,13,E,F,,0.29,9.1,9/17/2020,10/16/2020,29,0.88,0.32,0.55,13.5,0.59,4.4,,0.02034482759,0.1517241379
S2,812,bacteria,1,C,F,,0.36,10.1,9/25/2020,10/23/2020,28,1.16,0.39,0.79,16.1,0.8,6,,0.02857142857,0.2142857143
